Indicator,Next
8368091.06805029,8
21930515.7244822,37
1058602.02332354,133
-1123403.13429844,-188
-3210016.21203594,39
-2488373.60623263,-148
-7500466.05293568,-292
-18172858.6650157,-61
-4926787.19569484,-160
-2898380.6270973,-377
-9085818.13999449,-910
-42581279.5386136,-413
-38172651.3579423,274
16594805.7982109,249
56593008.5037448,241
55805942.3721382,-33
19650887.762256,627
23821950.2002238,-238
-11486407.3416481,-399
-19225943.2503371,-8
-37702799.769032,-791
-15252306.772646,517
8043691.58926985,-36
14741456.4979624,155
20245724.8188677,87
1195204.22999984,-8
-14831971.5884397,162
-3214274.79423045,-17
6386381.58456198,179
17031231.9235532,67
14017440.837493,-63
8304477.3017746,171
-10591922.167705,-284
-28744161.9979365,-50
-15117704.7146288,66
-490677.491466279,45
16768925.6317018,152
4721313.93809068,94
4375002.87980918,-251
-13885362.143878,-711
-21979418.8671738,154
8949798.53562514,-57
7991552.56043585,25
16953912.6185495,7
-6825106.63566252,-64
-2836101.97280002,370
9543909.04183334,2
-8006731.57392789,292
25630589.9814092,-4
-3965915.03627329,-328
-13861210.2571551,-229
-25236501.38893,-53
-11931426.487972,-549
-9282863.26720243,-550
-26158354.4307645,41
3271317.52353012,-141
20513156.060665,-600
20795965.4020261,-133
-16341316.320603,-928
-16345791.0607526,1061
4108863.07558562,-172
12455712.6596368,181
2232256.1707314,307
22969498.9769003,-48
912895.643298343,-101
28736413.4879583,338
2838893.75224922,-128
5520194.51103867,192
1597962.32925905,-70
-19173662.8564317,101
13892344.2523958,532
40458214.6462614,-819
-21601442.2763645,358
-4473058.83147088,74
-48599559.6408492,-3
20834751.5078382,155
5523872.06233908,-282
-14912997.9611432,426
20798080.4028795,-51
-2746515.80884216,226
23587593.0375013,156
-13136741.6012353,-147
-10781424.1160548,-518
-30719773.6600341,152
-9440014.71572256,-153
-3892553.41485989,399
28810768.8697621,-129
920688.53813698,202
3485959.98677898,143
-2635527.51515065,7
6350091.72101691,-271
-8629235.78056292,104
-13405559.5389803,-189
-7614514.07367625,-47
6333484.36695361,293
9620455.93454001,282
16972147.4514591,-167
9282233.33547981,265
199106.249197942,32
-9575261.55044079,-164
-7397199.30682595,-25
-3942376.57805842,107
-6381185.10004469,316
31987931.3988394,-104
-6776565.39883972,-34
1703918.20434906,-77
-28488242.1951435,263
16550777.0779391,0
-2592515.0773175,35
2966619.24178161,-113
-17943478.0085913,-53
1479506.40090805,-308
-21500289.4747486,65
2412824.95885898,-174
-6532474.59593855,281
22599065.3797069,40
5997765.73238121,-44
1985364.89433841,25
-1675317.06193862,140
2241596.57368065,-73
6821459.76293274,2
-1690927.95962732,-101
-6744902.80680609,-121
-8513374.72502392,18
-2268988.34773266,-81
-1683303.99811347,24
7161837.37162425,141
4898963.22399025,69
9384100.23135274,57
3797792.27293454,-19
1400690.80075665,-34
-5352527.89170848,-132
-7831880.79641095,225
-3634007.09631031,8
130659.062031149,-233
1898755.55346668,60
-1264334.50955407,-5
-1170671.18232974,78
4338143.43063045,-140
-6143902.6768942,-29
-4431116.19947559,-122
-2420168.44911852,-197
-5915120.41601842,28
3979788.72185361,13
-27481.6645561153,99
11931944.8984726,-30
2313258.35246174,382
15212081.392058,139
-2005269.35999269,30
3414322.79757692,104
-8828799.32841362,-130
654592.064940319,-238
-9909354.64475415,358
392270.494519288,-255
-1111855.1351648,-25
2344998.09445085,-50
-5536381.24240264,13
1458520.9624234,-117
1205165.96318834,8
-2631166.94957785,-157
-4127919.74139295,-97
-3865380.04594842,-51
-3453300.6620556,37
2641342.00384739,49
9235679.27787258,-149
516078.620291055,-48
1311964.25237687,103
622556.667759144,-103
3534974.67858679,-206
-27149200.7317809,-104
-24126109.4288902,292
713131.465139073,282
37268477.7530852,194
47893085.5663425,28
10274254.4574886,114
-4211776.42459186,-184
-35235722.9307889,-134
-8469300.54736115,-256
-15673913.6385041,-165
6303205.55904055,-411
-18795862.9938644,36
576633.798453216,285
14507965.5782522,-246
11345239.2190669,111
15351319.9606759,110
-10251741.7744955,-171
2820520.15040171,153
-2341317.83300925,-95
-4715015.27519645,118
2781954.0993855,130
1345592.71693988,-168
-362552.199666222,165
708451.951324789,-178
-6101090.32062467,28
3578719.71687458,25
625310.452156479,164
4577800.1440298,224
10342708.7361442,4
-1163251.82554276,-58
-4475674.45028573,5
-13002222.8426593,118
2256136.62298251,-141
-2039637.07620942,218
18447533.5597254,67
-953287.676423355,87
6297368.74072368,-18
-18013530.6709524,129
5940176.18829191,105
-146307.132549721,-48
2309968.50177799,118
-4226867.40113782,113
5034654.72384388,-223
21871979.0983323,514
10487714.6722325,-247
-4156311.15101858,-247
-35458057.2882444,16
-19344492.4210002,-166
-3929231.32396839,-36
8099123.97482726,-163
3661520.87460338,10
-3454069.18313582,90
6764646.56468753,74
2401005.07053137,-204
-567542.645977278,114
46761.7370456812,172
6789237.63081319,-22
4655031.11541389,-40
-2888697.25740606,-71
-7328103.55621145,-7
-2935704.48870804,51
807417.302506762,-11
1135458.10046752,8
3676238.99291928,-32
-3764138.40900833,-168
-7031962.79811004,171
42893.5495983107,-3
2609027.24274922,-154
-87442.0730522865,-199
-7036262.27109058,216
2531720.90144588,-31
2792581.86852994,35
4275885.55319428,160
-717483.232337398,-115
2366919.99013477,-53
3003147.02734404,79
-1637729.84822072,128
9576980.51110545,93
4102706.96399128,-16
-581245.160169809,-178
-20322862.5197066,54
-3924239.04712285,8
2268446.15373858,-244
5717753.15480336,113
1983810.16447929,84
-725779.385591711,-50
5324080.0460099,86
344146.273758183,-83
-4653366.78063941,-51
789050.501598919,83
-4496356.24583636,-193
3670495.01139471,36
1401804.30822135,5
82191.8507490822,-3
720236.516609012,-156
-3495737.75351689,-105
-9323020.3054623,-365
-14984919.4130964,216
2895422.64744793,48
9924102.09634877,-79
12123967.372883,-100
-11913165.2598297,-217
-12488360.3086364,610
16647391.6761583,-22
13477615.9984143,113
14535130.2091083,-79
-14671628.6374469,-158
-5781754.29973932,28
-2446440.48845209,-115
-2579588.7910083,236
9653738.30598353,144
9807987.61549013,-91
3418297.16579973,168
-4791974.85860924,311
7048190.47113503,-56
-3042735.25982579,22
107334.595266939,273
-4033682.97061459,-134
-3071641.56538659,-63
-2015371.96547448,-22
-15277502.1680047,43
6645235.90444519,-178
-5820937.27253143,-40
738307.50995108,-59
-3782913.89537643,67
7930926.35722917,11
2137896.16270488,-193
-3770080.59170169,58
-891820.616239696,-75
-1506345.76494672,113
7586303.6487128,25
2050272.23899212,-224
-3254756.87737082,231
2383184.62189782,278
5597225.5815021,-1
5071073.3165321,-75
-4182518.59480089,-8
-9414091.43418229,25
2397085.912475,-9
2550888.95666165,-68
1312954.76925757,-61
-4317662.732747,62
-1061794.22069584,182
9140836.98056161,57
5878186.71770052,-62
208492.448637602,39
-7143896.73460829,-46
-4025609.50269443,4
-1174102.69875303,75
-1445729.50099998,43
470686.002722246,-48
-797556.847028355,22
-329802.254165184,-95
-1651185.36249124,-159
-6355378.4122111,-144
-5217130.71260563,-173
-2720637.24914164,136
9725799.28561804,1
5981614.59129668,57
4370627.44055177,-275
-5791290.2118791,79
-1975865.07967186,-101
591787.342799251,110
1303907.11513663,-70
-1327303.38013706,85
-1788444.72894595,195
10078345.2746318,-102
911553.107987449,54
2094473.87955329,137
-4519188.80116337,78
1669408.27246582,223
5679914.07339618,324
18864499.2256544,89
